PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,AST,TOV,REB,PLUS_MINUS
1629640,Keldon Johnson,SAS,25.0,77,23.9,12.7,4.8,10.0,0.482,1.1,3.6,0.318,1.9,2.5,0.773,1.6,1.0,4.8,-2.8
203482,Kelly Olynyk,NOP,34.0,44,20.2,8.7,3.0,6.1,0.5,0.8,1.8,0.418,1.9,2.5,0.769,2.9,1.7,4.7,-1.3
1626162,Kelly Oubre Jr.,PHI,29.0,60,34.6,15.1,5.8,12.4,0.47,1.2,4.0,0.293,2.3,3.1,0.751,1.8,1.3,6.1,-4.3
1629026,Kenrich Williams,OKC,30.0,69,16.4,6.3,2.5,5.1,0.483,1.0,2.5,0.386,0.4,0.6,0.718,1.4,0.6,3.5,4.8
203484,Kentavious Caldwell-Pope,MEM,32.0,77,29.6,8.7,3.1,7.1,0.439,1.5,4.3,0.342,1.1,1.2,0.863,1.8,0.8,2.2,0.1
1631165,Keon Ellis,SAC,25.0,80,24.4,8.3,2.8,5.8,0.489,1.7,4.0,0.433,0.9,1.1,0.849,1.5,0.9,2.7,0.8
1630553,Keon Johnson,BKN,23.0,79,24.4,10.6,3.8,9.9,0.389,1.6,5.1,0.314,1.4,1.8,0.77,2.2,1.5,3.8,-5.4
1630556,Kessler Edwards,DAL,24.0,40,15.2,4.2,1.7,3.4,0.496,0.6,1.4,0.407,0.3,0.3,0.923,1.1,0.4,2.9,-4.0
201142,Kevin Durant,PHX,36.0,62,36.5,26.6,9.5,18.1,0.527,2.6,6.0,0.43,4.9,5.8,0.839,4.2,3.1,6.0,-0.6
1628989,Kevin Huerter,CHI,26.0,69,24.3,9.9,3.7,8.8,0.425,1.9,5.7,0.338,0.5,0.7,0.714,2.3,1.0,3.0,1.5
1629645,Kevin Porter Jr.,MIL,25.0,75,19.8,10.3,3.9,8.7,0.449,0.7,2.4,0.311,1.7,2.3,0.769,3.4,1.8,3.7,0.4
1626172,Kevon Looney,GSW,29.0,76,15.0,4.5,1.9,3.7,0.514,0.0,0.1,0.4,0.7,1.3,0.566,1.6,0.5,6.1,1.5
1641718,Keyonte George,UTA,21.0,67,31.5,16.8,5.4,13.7,0.391,2.6,7.6,0.343,3.5,4.3,0.818,5.6,2.7,3.8,-7.6
202691,Klay Thompson,DAL,35.0,72,27.3,14.0,5.0,12.2,0.412,3.0,7.7,0.391,0.9,1.0,0.905,2.0,1.2,3.4,-1.1
1641738,Kobe Brown,LAC,25.0,40,6.8,1.9,0.8,1.8,0.458,0.2,0.7,0.231,0.1,0.2,0.714,0.6,0.3,1.6,-1.3
1627739,Kris Dunn,LAC,31.0,74,24.1,6.4,2.6,5.9,0.439,1.0,3.0,0.335,0.2,0.3,0.682,2.8,1.0,3.4,3.5
